CardName,CardEffect,CardType,CardRace,Mana,Civilization,Power,Set,SetNum,ImageURL
"Heaven's Rosia, True Dragon Ruler","■ When you put this creature into the battle zone, put a dragheart that costs 3 or less or a light dragheart that costs 5 or less from your hyperspatial zone into the battle zone. ''(If it's a Dragheart Weapon
■ Mana Arms",Creature,Angel Command Dragon/Justice Wing/Draguner,7,Light,5500,DMEX-06,54,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-54
"MaltNEXT, Super Battle Dragon Ruler","■ Double Breaker
■ Mana Arms
■ Dragon Mana Arms 5: When this creature attacks for the first time in a turn, if you have 5 or more fire Dragons in your mana zone, untap this creature after the attack.",Creature,Gaial Command Dragon/Human Baku/Draguner,7,Fire,9000,DMEX-06,DK1,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-DK1
"The Red, Lightning Sonic",■ Speed Attacker,Creature,Sonic Command/Invader,4,Fire,4000,DMEX-06,92,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-92
"Redzone, Roaring Invasion","■ Evolution—Put on one of your fire creatures.
■ Invasion
■ Triple Breaker
■ When you put this creature, destroy all your opponent's creatures that have the highest power.",Evolution Creature,Sonic Command/Invader,6,Fire,12000,DMEX-06,6,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-6
Iron Fist of Revolution,"■ Revolution 0 Trigger—Whenever a creature attacks you, if you have no shields, you may cast this spell For No Cost
■ Reveal the top 4 cards of your deck and choose a fire creature from among them. Destroy one of your opponent's creatures that has the same as or less power than that creature.
■ After you cast this spell, shuffle it into your deck instead of your graveyard.",Spell,,3,Fire,,DMEX-06,69,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-69
"Gatling, Sonic","■ Evolution—Put on one of your fire creatures.
■ Invasion
■ Power Attacker
■ Double Breaker",Evolution Creature,Human Baku/Invader,4,Fire,6000+,DMEX-06,82,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-82
Cyber I Choice,"■ Shield Trigger
■ When you put this creature, you may use a card that has ""shield trigger"" from your hand For No Cost",Creature,Cyber Command,7,Water,3000,DMEX-06,60,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-60
Revolution Taiman,"■ Shield Trigger
■ Choose a creature. Until your next turn, that creature gets +4000 power and can't attack players.
■ Revolution 2—If you have 2 shields or less, until the start of your next turn your opponent's creatures can't attack you.",Spell,,3,Nature,,DMEX-06,86,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-86
"The Mach, Lightning Sonic","■ Speed Attacker
■ When you put this creature into the battle zone, reveal the top 4 cards of your deck. You may put an evolution creature from among the revealed cards into your hand. Put the rest on the bottom of your deck in any order.",Creature,Sonic Command/Invader,5,Fire,5000,DMEX-06,67,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-67
Bolshack Dogiragon,"■ Revolution 0 Trigger—Whenever a creature attacks you, if you have no shields, you may reveal this creature from your hand. If you do, reveal the top card of your deck. If it's a non-evolution fire creature, put it into the battle zone, and put this creature on top of it.
■ Evolution—Put on one of your fire creatures.
■ Triple Breaker
■ When you put this creature or whenever it attacks, you may choose one of your opponent's creatures in the battle zone. This creature and that creature battle.",Evolution Creature,Mega Command Dragon/Revolutionary,7,Fire,12000,DMEX-06,5,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-5
Forbidden ~The Sealed X~,"■ This impulse Cards that can be put into the Battle Zone at the start of the game
■ This impulse can't leave the battle zone.
■ Forbidden Liberate: When this impulse has no seals on it, flip it to its creature side. 
■ Seal",Forbidden Impulse,,,Fire,,DMEX-06,2a,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-2a
"Dokindam X, The Legendary Forbidden","■ Triple Breaker
■ When this creature Forbidden Liberates, your opponent puts a seal on each of their creatures.
■ Your opponent can't choose this creature with spells that cost 4 or less.
■ If this card is in a zone other than the battle zone, Alternate Loss Condition",Forbidden Creature,,99,Fire,99999,DMEX-06,2b,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-2b
"Gyogyou, Revolutionkind","■ Evolution—Put on one of your nature creatures.
■ Double Breaker
■ Whenever your opponent puts a creature into the battle zone, you may put a non-evolution nature creature that costs less than that creature from your mana zone into the battle zone.
■ Revolution 2—If you have 2 shields or less, this creature costs 5 less to summon.",Evolution Creature,Jurassic Command Dragon/Revolutionary,6,Nature,8000,DMEX-06,33,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-33
Scale of Life and Death,"■ Shield Trigger
■ Choose one of the following. 
:► Return up to 2 creatures from your graveyard to your hand.
:► Choose one of your opponent's creatures. That creature gets -5000 power until the End Step",Spell,,5,Darkness,,DMEX-06,81,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-81
Oriotis Judge,"■ Shield Trigger
■ Each player puts all their creatures that cost the same as or more than the number of cards in their mana zones on the bottom of their decks in any order.",Spell,,3,Light,,DMEX-06,58,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-58
"Yadoc, Beast Army","■ Whenever your opponent would put a creature into the battle zone that costs more than the number of cards in their mana zone, they put it in their mana zone instead.",Creature,Guerrilla Command/Invader,4,Nature,4000,DMEX-06,94,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-94
"Doremi, Time 1","■ When you put this creature into the battle zone, draw a card.",Creature,Revolutionary/Team Doremi,2,Light/Water,1500,DMEX-06,97,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-97
"Puchohenza, Mia Moja","■ Revolution Change: Light or Nature Dragon that costs 5 or more
■ Triple Breaker
■ Your opponent's creatures that cost less than the number of cards in your mana zone are put tapped.
■ Final Revolution: When you put this creature with ""Revolution Change"" and you haven't used another ""Final Revolution"" during this turn, put all creatures that have power less than this creature into their owner's mana zones.",Creature,Jurassic Command Dragon/Revolutionary/Team Damama,8,Light/Nature,12500,DMEX-06,9,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-9
"Dogiragon Buster, Blue Leader","■ Revolution Change: Fire or Nature Dragon that costs 5 or more
■ Triple Breaker
■ Each of your multicolored creatures gets ""speed attacker"".
■ Final Revolution: When you put this creature with ""Revolution Change"" and you haven't used another ""Final Revolution"" during this turn, put any number of non-evolution multicolored creatures that have total cost 6 or less  from your hand or mana zone.",Creature,Mega Command Dragon/Revolutionary/Team Hamukatsu,8,Fire/Nature,13000,DMEX-06,DK3,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-DK3
"Psychedelic Garden, Paradise of D","■ Each of your creatures gets ""escape"". ''(When a creature that has ""escape"" would be destroyed, you may add one of your shields to your hand instead. You can't use the ""shield trigger"" ability of that shield.)''
■ ''(Whenever another D2 Field is put into the battle zone, put this D2 Field into your graveyard.)''
■ D2 Wrap",D2 Field,,5,Light,,DMEX-06,59,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-59
"Darth Sith K, Dark Armor","■ You may summon this creature by destroying one of your creatures, putting the top card of your deck into your graveyard, and discarding a card from your hand instead of paying its cost. 
■ When you summon this creature, put all creatures that have the same name as this creature from your graveyard into the battle zone.",Creature,Dark Knightmare/Initials,5,Darkness,5000,DMEX-06,30,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-30
Brain Touch,"■ Discard a card from your opponent's hand at random.
■ Draw a card.",Spell,,3,Water/Darkness,,DMEX-06,98,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-98
"Miradante Twelve, Time Pope","■ Revolution Change: Light or Water Dragon that costs 5 or more
■ Triple Breaker
■ When you put this creature, you may cast a light spell that costs 5 or less from your hand For No Cost
■ Final Revolution: When you put this creature with ""Revolution Change"" and you haven't used another ""Final Revolution"" during this turn, your opponent can't summon creatures that cost 7 or less until the end of your opponent's next turn.",Creature,Angel Command Dragon/Revolutionary/Team Doremi,8,Light/Water,12000,DMEX-06,8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-8
Arcadia Spark,"■ Shield Trigger
■ Choose one of the following. If you have an Angel Command, you may choose both:
:► Choose one of your opponent's creatures. Your opponent shuffles it into their deck. Then your opponent draws a card.
:► Tap all your opponent's creatures.",Spell,,8,Light/Water,,DMEX-06,47,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-47
Cyber Tune,"■ Shield Trigger
■ Draw 3 cards. Then discard 2 cards from your hand.",Spell,,3,Water,,DMEX-06,90,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-90
Ryusei the Earth,"■ Speed Attacker
■ Double Breaker
■ When you put this creature into the battle zone or when this creature is discarded by one of your opponent's spell effect or creature ability, look at the top card of your deck. Put it into your hand or mana zone.",Creature,Red Command Dragon/Revolutionary/Team Hamukatsu,6,Fire/Nature,6000,DMEX-06,23,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-23
"Dorhakaba, Final Forbidden Delta","■ Speed Attacker
■ If you have a field in the battle zone, you may summon this creature from your graveyard.",Creature,Sonic Command/Initials X,5,Darkness/Fire,3000,DMEX-06,88,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-88
Team Doremi's Light Spirit Go!,"■ Shield Trigger
■ Choose one of the following.
:► Tap all your opponent's creatures in the battle zone.
:► Draw a card. Then you may cast a light or water spell that costs 5 or less from your hand For No Cost",Spell,,6,Light/Water,,DMEX-06,73,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-73
"Wild Safari Channel, D of Great Revolution","■ Whenever you tap a multicolored card in your mana zone, you may change the Mana Number
■ ''(Whenever another D2 Field is put into the battle zone, put this D2 Field into your graveyard.)''
■ D2 Wrap",D2 Field,,6,Light/Nature,,DMEX-06,34,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-34
Jolly the Johnny Joe,"■ Speed Attacker
■ Quattro Breaker
■ When you summon this creature into the battle zone, if your opponent has no creatures in the battle zone, you Alternate Win",Creature,,10,Fire,19000,DMEX-06,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-7
Rainbow Spark,"■ Shield Trigger
■ Choose up to 2 of your opponent's creatures and tap them.
■ Mana Arms",Spell,,4,Light/Water,,DMEX-06,87,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-87
"Memento Guardian Shrine, Prison Court of D","■ Shield Trigger
■ Each of your creatures gets ""blocker"". ''(Whenever an opponent's creature attacks, you may tap the creature that has ""blocker"" to change the attack to that creature.)''
■ ''(Whenever another D2 Field is put into the battle zone, put this D2 Field into your graveyard.)''
■ D2 Wrap",D2 Field,,4,Light,,DMEX-06,76,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-76
"Cyberdice Vegas, Gambling Expert of D","■ Shield Trigger
■ End Step
■ ''(Whenever another D2 Field is put into the battle zone, put this D2 Field into your graveyard.)''
■ D2 Wrap",D2 Field,,5,Water,,DMEX-06,62,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-62
"Danganoh, Super Special Q","■ Double Breaker
■ When you put this creature into the battle zone, this creature can attack your opponent and breaks an additional shield for each of your other Jokers in the battle zone until the End Step",Creature,Jokers,6,Colorless,7000,DMEX-06,17,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-17
"Onikamas, Strange Flow","■ Your opponent Unchoosable
■ Whenever your opponent puts a creature in a way except by summoning during their turn, you may return that creature to its owner's hand.",Creature,Mutopia,2,Water,2000,DMEX-06,77,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-77
"Bash, Misfortune Demon 34","■ Slayer
■ When this creature is destroyed, put a creature that has power 1000 or less from your graveyard into the battle zone.",Creature,Mafi Gang,4,Darkness,2000,DMEX-06,64,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-64
"Sarutobi Giant, Dolge","■ Ninja Strike
■ When you put this creature, draw a card and discard a card from your hand. Then put a card from your graveyard into your mana zone.",Creature,Giant/Earth Eater/Shinobi,4,Water/Nature,3000,DMEX-06,50,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-50
"Jack Alcadeias, Dark Gaia","■ Shield Trigger
■ Slayer
■ When you put this creature, destroy one of your opponent's cards that costs 4 or less.",Creature,Spirit Quartz/Lost Crusader,4,Darkness/Fire,1000,DMEX-06,52,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-52
"Analith, Cyber Armor","■ When you put this creature into the battle zone, you may destroy it. If you do, choose one of the following.
:► Put the top card of your deck into your mana zone.
:► Draw a card.",Creature,Cyber Lord/Giant Insect,2,Water/Nature,2000,DMEX-06,51,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-51
"Shakogairu, Water Academy No. 9","■ Triple Breaker
■ When you put this creature, shuffle your graveyard into your deck.
■ At the start of your opponent's turn, draw 5 cards, then discard 3 cards from your hand.
■ When you would lose the game by drawing the last card of your deck, you Alternate Win",Creature,Mutopia,9,Water,13000,DMEX-06,18,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-18
Gustav Albussar,"■ Neo Evolution
■ Double Breaker
■ Kizuna",Neo Creature,Mafi Gang,8,Darkness,11000,DMEX-06,20,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-20
Kirazeus Savark,"■ Dragon Double Breaker ''(This creature breaks 2 shields. Before the break
■ When you put this creature, choose one of your opponent's cards in the battle zone and put it on top of one of their shields Face Up
■ Whenever one of your creatures would leave the battle zone, you may put a Face Up",Creature,Master Dragon/Metallica,7,Light,11000,DMEX-06,DK5,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-DK5
卍 De Szark 卍,"■ Gate of Moonless Night
■ Double Breaker
■ When you put this creature, destroy one of your opponent's creatures.
■ If there are 4 or more cards under this creature, your opponent's creatures are put tapped.",Creature,Master Dolszak/Mafi Gang,8,Darkness,9000,DMEX-06,DK6,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-DK6
"Dupoiz, Darma","■ Double Breaker
■ When you put this creature, destroy 2 of your creatures. Then your opponent chooses one of their creatures and destroys it.",Creature,Mafi Gang/Magic Tool,2,Darkness,8000,DMEX-06,65,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-65
"Vogaiga, Darma","■ When you put this creature, put the top 4 cards of your deck into your graveyard. Then choose a darkness card from your graveyard and put it into your hand.
■ Your Magic Tool creatures cost 1 less to summon. They can't cost 0 or less.",Creature,Mafi Gang/Magic Tool,4,Darkness,4000,DMEX-06,31,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-31
"Gripage, Darma","■ When you put this creature into the battle zone, your opponent discards a card at random from their hand.",Creature,Mafi Gang/Magic Tool,3,Darkness,2000,DMEX-06,91,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-91
"Valchuris, Dragon Armored","■ Whenever any of your creatures attacks, if this creature is in your hand, and that attack is the second attack by a creature this turn, after the attack, unless you put a '''Valchuris, Dragon Armored''' this turn, you may put this creature.
■ Speed Attacker",Creature,Dragon Guild/Beat Jockey,5,Fire,4000,DMEX-06,83,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-83
Great Sonic,"■ Gogogo Gangan Galaxy: If you have 1 or less card in your hand, this creature gets ""speed attacker"". ''(A creature that has ""speed attacker"" doesn't get summoning sickness.)''
■ At the End Step",Creature,Beat Jockey,1,Fire,1000,DMEX-06,68,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-68
Jhot Gun Joragon,"■ When you summon this creature, you may return any number of your Jokers in the battle zone to your hand. For each Jokers returned this way, this creature costs 1 less to summon.
■ Speed Attacker
■ Double Breaker
■ Whenever this creature attacks, draw a card, then, discard a card from your hand.
■ Joragon Big 1 : Whenever you discard a Jokers from your hand, you may use one of its Ability that starts with ""When you put this creature into the battle zone""",Creature,Master Dragon/Jokers,7,Colorless,11000,DMEX-06,DK4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-DK4
"Ragnarok, the Watch","■ Triple Breaker
■ When you summon this creature or whenever this creature attacks, choose up to 2 creatures and return them to their owner's hand.
■ Whenever your opponent puts a creature or casts a spell, you may skip the rest of the turn.",Creature,Outrage MAX,10,Water,12000,DMEX-06,11,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-11
"Hayabusaryu, Dragon Ninja","■ Blocker
■ Speed Attacker
■ Ninja Strike",Creature,Gaial Command Dragon/Guardian/Shinobi,6,Light/Fire,5500,DMEX-06,14,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-14
Dondon Shower Now,"■ Shield Trigger
■ Put the top 2 cards of your deck into your mana zone tapped. 
■ Return a creature from your mana zone to your hand. Then you may choose one of your opponent's creatures that costs the same as or less than that creature and return it to its owner's hand.",Spell,,5,Water/Nature,,DMEX-06,15,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-15
"Shishio Kaiser, Explosive Ruins","■ Shield Trigger
■ When you put this creature, put the top card of your deck into your mana zone. Then if you have 3 or more fire Dragons in your mana zone, destroy one of your opponent's creatures that has power 3000 or less.",Creature,Red Command Dragon/Hunter,6,Fire/Nature,4000,DMEX-06,16,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-16
"The Gnum, Shooting Sonic","■ During your opponent's turn, whenever your opponent puts a creature into the battle zone without paying its cost, destroy that creature.",Creature,Sonic Command/Invader,3,Fire,3000,DMEX-06,25,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-25
"Do Red, Tyrant Sonic","■ Mana Arms 3: If you have 3 or more fire cards in your mana zone, this creature gets ""speed attacker"". 
■ This creature attacks each turn Attack if Able",Creature,Sonic Command/Invader,3,Fire,4000,DMEX-06,38,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-38
Bloody Typhoon,■ Look at the top 3 cards of your deck. Add one to your hand and put the rest into your graveyard.,Spell,,2,Water/Darkness,,DMEX-06,42,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-42
"Batogaiheart, Explosive King Sword","■ A creature equipped with this gets ""speed attacker"".
■ Whenever a creature equipped with this attacks, reveal the top card of your deck. If it's a non-evolution Dragon, put it. Otherwise, put it on the bottom of your deck.
■ Dragsolution: When you put",Dragheart Weapon,,5,Fire,,DMEX-06,1a,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-1a
"Batogaiginga, Explosive King Deluxe","■ Speed Attacker
■ Triple Breaker
■ Whenever this creature attacks, draw a card. Then you may put a non-evolution Dragon from your hand.
■ Your opponent's non-Dragon creatures can't attack on the turn they are put.",Dragheart Creature,Gaial Command Dragon,8,Fire,12000,DMEX-06,1b,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-1b
Medicalar Cobalt Kaiser/Eyed Wise Shutter,"■ Double Breaker
■ Whenever your opponent puts a creature, each of your opponent's creatures can't attack that turn.
■ Whenever your opponent casts a spell, you may draw 2 cards.
=========================
■ Shield Trigger
■ Choose up to 2 of your opponent's creatures and tap them. At the start of your opponent's next turn, they don't untap.",Twinpact,Blue Command Dragon/Hunter,7,Water/Light,7000,DMEX-06,24,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-24
Kenzan Charger,"■ Reveal the top card of your deck. If it's a creature that has ""blocker"" or a spell, add it to your hand. Otherwise, put it on the bottom of your deck. 
■ Charger",Spell,,3,Light,,DMEX-06,35,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-35
"Melge No Man/""Now, this is my only wish""","■ You may summon this creature from your graveyard.
■ Smash Burst
=========================
■ Discard a card from your hand, then draw a card.",Twinpact,Hedrian,3,Darkness/Fire,3000,DMEX-06,36,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-36
"Mikuru, Future Faerie/Miracle Brain","■ When you put this creature into the battle zone, put the top card of your deck into your mana zone.
■ Mana Arms
=========================
■ Draw a card for each civilization in your mana zone.",Twinpact,Snow Faerie/Hunter,4,Nature/Water,1000,DMEX-06,39,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-39
"Nasuloscha, Date Doll","■ When you put this creature, search your deck and put a card from it into your graveyard. Then shuffle your deck.",Creature,Death Puppet,3,Darkness,4000,DMEX-06,37,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMEX-06-37
Faerie Life,"■ Shield Trigger
■ Put the top card of your deck into your mana zone.",Spell,,2,Nature,,DMBD-09,20,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-20
Pakurio,"■ When you put this creature into the battle zone, you may look at your opponent's hand and add a card from it to their shields face down.",Creature,Cyber Lord,4,Water,1000,DMBD-09,18,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-18
"Zerokage, Lightfang Lord","■ Blocker
■ Ninja Strike
■ This creature can't attack players.",Creature,Initiate/Shinobi,7,Light,7000,DMBD-09,15,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-15
"Ryusei Kaiser, the Eternal","■ Double Breaker
■ Each of your creatures gets ""speed attacker"".
■ Your opponent's creatures are put tapped.
■ When this creature would be discarded by the effect of one of your opponent's spells or ability of an opponent's creature, you may put it instead.",Creature,Red Command Dragon/Hunter,8,Fire,8000,DMBD-09,6,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-6
Dondon Vacuuming Now,"■ Shield Trigger
■ Look at the top 5 cards of your deck. Reveal one and put it into your hand, then put the rest on the bottom of your deck in any order. If the card revealed this way was a fire or nature card, you may choose a creature and return it to its owner's hand.",Spell,,4,Water,,DMBD-09,16,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-16
"Onimaru ""Head"", Victory Rush","■ Speed Attacker
■ Power Attacker
■ Triple Breaker
■ Gachinko Judge 2",Creature,Human/Red Command Dragon/Hunter/Alien,10,Fire,9000+,DMBD-09,2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-2
"Forever Princess, Eternal Ruler","■ Speed Attacker
■ Double Breaker
■ Whenever your opponent puts a creature into the battle zone For No Cost
■ When this creature is put into your graveyard from anywhere, shuffle this card and your graveyard into your deck instead.",Creature,Red Command Dragon/Hunter/Alien,8,Fire/Nature,8000,DMBD-09,8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-8
Lifeplan Charger,"■ Look at the top 5 cards of your deck. You may take a creature from among them, show that creature to your opponent, and put it into your hand. Then put the rest on the bottom of your deck in any order. 
■ Charger",Spell,,4,Nature,,DMBD-09,19,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-19
"Mitsurugi Boost, Matchless Dragon Demon","■ When you put this creature into the battle zone, you may put this creature into your mana zone. If you do, destroy one of your opponent's creatures that has power 6000 or less.",Creature,Earth Dragon/Armored Dragon/Hunter,5,Fire/Nature,5000,DMBD-09,13,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-13
"Kaiser ""Baki"", Zenith of ""Certain Victory""","■ Triple Breaker
■ When you summon this creature into the battle zone, count the number of your opponent's shields and play that number of Gachinko Judge games. For each time you win Gachinko Judge in this way, put a Hunter from your graveyard, mana zone or hand into the battle zone. Gachinko Judge
■ Eternal Omega",Creature,Red Command Dragon/Hunter/Zenith,11,Colorless,14000,DMBD-09,1,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-1
Meteorite Ryusei the Flash,"■ Double Breaker
■ When you put this creature into the battle zone, tap all your opponent's creatures in the battle zone.
■ Each of your creatures in the battle zone gets ""speed attacker"". ''(A creature that has ""speed attacker doesn't get summoning sickness.)''",Creature,Red Command Dragon/Hunter,8,Light/Fire,9500,DMBD-09,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-7
Faerie Shower,"■ Shield Trigger
■ Look at the top 2 cards of your deck. Put one of them into your hand and the other into your mana zone.",Spell,,4,Water/Nature,,DMBD-09,17,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-17
"Sr Spellcyclica, Dragment Symbol","■ Double Breaker
■ When you put this creature, you may cast a spell that costs 7 or less from your graveyard For No Cost
■ When this creature would be destroyed, put it on the bottom of your deck instead.",Creature,Crystal Command Dragon,7,Water,6000,DMBD-09,5,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-5
"Saizoumist, Dolge","■ Ninja Strike
■ Double Breaker
■ When you put this creature , shuffle all cards in your graveyard into your deck. Then shieldify the top card of your deck. At the Step#Step 2 (Draw)",Creature,Giant/Shinobi,7,Light/Water/Nature,7000,DMBD-09,14,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-14
"Aegis Boost, Matchless Dragon Saint","■ Shield Trigger
■ Blocker
■ When you put this creature into the battle zone, put the top card of your deck into your mana zone.",Creature,Apollonia Dragon/Earth Dragon/Hunter,6,Light/Nature,3500,DMBD-09,12,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-12
Ryusei Five Sword Kaiser,"■ Speed Attacker
■ Mach Fighter
■ Triple Breaker
■ Whenever this creature wins a battle, until the start of your next turn, you can't Prevents Defeat",Creature,Red Command Dragon/Hunter,8,Fire/Nature,14000,DMBD-09,4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-4
"Stegoro Kaiser, Struggling Battlekind/Purification Sharrup","■ Mach Fighter
■ Double Breaker
■ Whenever this creature attacks, put the top card of your deck into your mana zone. Then you may return a card from your mana zone to your hand.
=========================
■ Put the top card of your deck into your mana zone.
■ You may choose one or more cards from a player's graveyard. That player shuffles those cards into their deck.",Twinpact,Jurassic Command Dragon/Hunter,7,Nature/Nature,9000,DMBD-09,10,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-09-10
Faerie Life,"■ Shield Trigger
■ Put the top card of your deck into your mana zone.",Spell,,2,Nature,,DMBD-13,23,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-13-23
Faerie Life,"■ Shield Trigger
■ Put the top card of your deck into your mana zone.",Spell,,2,Nature,,DMBD-13," 24",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-13- 24
Faerie Life,"■ Shield Trigger
■ Put the top card of your deck into your mana zone.",Spell,,2,Nature,,DMBD-13," 25",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-13- 25
Faerie Life,"■ Shield Trigger
■ Put the top card of your deck into your mana zone.",Spell,,2,Nature,,DMBD-13," 26",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-13- 26
Hyperspatial Faerie Hole,"■ Put the top card of your deck into your mana zone. 
■ Choose one of the following. 
:► Put any number of psychic creatures that have total cost 5 or less from your hyperspatial zone into the battle zone.
:► Put a nature psychic creature that costs 7 or less from your hyperspatial zone into the battle zone.
■ Hyperspatial Psychic",Spell,,5,Nature,,DMBD-13,22,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-13-22
"Devil Diabolos Zeta, Evil Awakened","■ Quattro Breaker
■ Whenever this creature attacks, destroy one of your opponent's Light creatures, Water creatures, Darkness creatures, Fire creatures, and Nature creatures.
■ Release",Psychic Creature,World Command,20,Light/Water/Darkness/Fire/Nature,23000,DMBD-13,6b,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-13-6b
"Diabolos Zeta, Temporal Ruler","■ Blocker
■ This creature can't attack.
■ Whenever your opponent would choose a creature due to the ability of a creature, they Unchoosable
■ Awaken—At the Step#Step 2 (Draw)",Psychic Creature,World Command,10,Light/Water/Darkness/Fire/Nature,9000,DMBD-13,6a,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMBD-13-6a
